City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Pangnirtung,CA,2022-08-16 14:44:15,66.1451,-65.7125,44.6,87,75,6.91
89,Shubarshi,KZ,2022-08-16 14:44:15,48.5872,57.1869,84.76,20,0,9.4
90,Altay,CN,2022-08-16 14:44:16,47.8667,88.1167,58.93,28,0,10.38
91,Butaritari,KI,2022-08-16 14:44:16,3.0707,172.7902,80.78,80,100,13.94
92,Coquimbo,CL,2022-08-16 14:45:16,-29.9533,-71.3436,55.13,71,0,8.05
93,Touros,BR,2022-08-16 14:45:17,-5.1989,-35.4608,82.89,54,15,20.18
94,Gimli,CA,2022-08-16 14:45:17,50.6336,-96.9907,69.51,77,77,5.53
95,Lavrentiya,RU,2022-08-16 14:45:18,65.5833,-171.0,36.46,84,65,7.49
96,Praya,CV,2022-08-16 14:45:18,14.9215,-23.5087,88.34,58,20,17.27
97,Lac Du Bonnet,CA,2022-08-16 14:45:18,50.2536,-96.0612,68.31,82,100,5.1
98,Ushibuka,JP,2022-08-16 14:45:19,32.1906,130.0228,82.63,84,100,14.14
99,Hobart,AU,2022-08-16 14:45:20,-42.8794,147.3294,47.05,96,75,3.44
100,Labuhan,ID,2022-08-16 14:45:20,-6.8844,112.2051,78.55,82,52,5.88
101,Guerrero Negro,MX,2022-08-16 14:45:21,27.9769,-114.0611,73.83,75,56,6.78
102,Coahuayana,MX,2022-08-16 14:45:21,18.7333,-103.6833,83.43,66,48,1.81
103,Airai,TL,2022-08-16 14:45:21,-8.9266,125.4092,56.25,89,92,1.88
104,Mahebourg,MU,2022-08-16 14:45:22,-20.4081,57.7,71.89,78,40,9.22
105,Graham,US,2022-08-16 14:45:22,47.0529,-122.2943,60.49,88,100,4.61
106,Anderson,US,2022-08-16 14:45:22,34.5334,-82.6499,79.21,77,75,6.91
107,Upernavik,GL,2022-08-16 14:45:23,72.7868,-56.1549,41.67,93,100,11.03
108,Dunedin,NZ,2022-08-16 14:45:23,-45.8742,170.5036,50.81,84,100,2.86
109,Puerto Ayora,EC,2022-08-16 14:41:31,-0.7393,-90.3518,69.76,98,98,3.0
110,Kobryn,BY,2022-08-16 14:45:24,52.2138,24.3564,83.46,45,100,13.18
111,Santa Maria,BR,2022-08-16 14:43:23,-29.6842,-53.8069,58.3,77,75,3.44
112,Le Pradet,FR,2022-08-16 14:45:24,43.1066,6.0172,90.61,63,0,10.36
113,Vila Velha,BR,2022-08-16 14:42:56,-20.3297,-40.2925,80.55,61,40,14.97
114,Yellowknife,CA,2022-08-16 14:45:12,62.456,-114.3525,64.92,88,40,4.0
115,Barrow,US,2022-08-16 14:45:25,71.2906,-156.7887,33.82,93,100,16.11
116,Mahibadhoo,MV,2022-08-16 14:45:26,3.7833,72.9667,81.41,74,96,8.77
117,Las Vegas,US,2022-08-16 14:44:50,36.175,-115.1372,86.68,48,0,5.75
118,Russell,US,2022-08-16 14:43:41,32.3502,-85.1999,82.0,83,0,4.61
119,Leningradskiy,RU,2022-08-16 14:45:26,69.3833,178.4167,29.89,91,12,6.82
120,Grindavik,IS,2022-08-16 14:45:27,63.8424,-22.4338,55.87,47,0,11.5
121,Jamestown,US,2022-08-16 14:45:27,42.097,-79.2353,63.01,71,100,6.91
122,Cherskiy,RU,2022-08-16 14:45:28,68.75,161.3,45.77,75,100,6.33
123,Carnarvon,AU,2022-08-16 14:45:28,-24.8667,113.6333,66.85,61,95,16.15
124,Myatlevo,RU,2022-08-16 14:45:28,54.8969,35.6762,77.5,45,50,8.28
125,Malinyi,TZ,2022-08-16 14:45:29,-8.9333,36.1333,86.29,28,55,6.11
126,Dikson,RU,2022-08-16 14:45:29,73.5069,80.5464,41.31,88,100,23.55
127,Vaini,TO,2022-08-16 14:45:30,-21.2,-175.2,71.76,83,20,14.97
128,Tiksi,RU,2022-08-16 14:45:30,71.6872,128.8694,46.42,87,26,8.48
129,Iqaluit,CA,2022-08-16 14:45:30,63.7506,-68.5145,46.13,70,75,13.8
130,Niteroi,BR,2022-08-16 14:45:31,-22.8833,-43.1036,91.2,44,0,12.66
131,Moissac,FR,2022-08-16 14:45:31,44.1024,1.0945,75.07,33,75,12.39
132,Souillac,MU,2022-08-16 14:45:32,-20.5167,57.5167,71.98,78,40,9.22
133,Honiara,SB,2022-08-16 14:45:32,-9.4333,159.95,77.16,82,2,2.91
134,Torbay,CA,2022-08-16 14:45:08,47.6666,-52.7314,65.28,88,100,10.36
135,Wenling,CN,2022-08-16 14:45:32,28.3669,121.36,82.33,87,100,12.21
136,Arlit,NE,2022-08-16 14:45:33,18.7369,7.3853,98.64,28,6,2.98
137,Sterling,US,2022-08-16 14:44:15,39.0062,-77.4286,78.26,62,40,8.05
138,Mehran,IR,2022-08-16 14:46:34,33.1222,46.1646,110.12,6,0,23.82
139,Fairbanks,US,2022-08-16 14:46:34,64.8378,-147.7164,52.3,93,40,3.44
140,Khatanga,RU,2022-08-16 14:46:34,71.9667,102.5,43.3,81,0,11.12
141,Porto Novo,BJ,2022-08-16 14:46:35,6.4965,2.6036,79.21,70,81,12.44
